Notebook_Timestamp_Neck,"Quaternion_Orientation_(W, X, Y, Z)_Neck",Sensor_Timestamp,Status_Neck,Label_Neck,Notebook_Timestamp_Back,"Quaternion_Orientation_(W, X, Y, Z)_Back",Status_Back,Label_Back
18:22:19.694000,"(0.8544161915779114, -0.18224917352199554, -0.21479779481887817, -0.43660297989845276)",0 days 00:00:02.962193,10010100,neck_bad_8,18:22:19.092000,"(0.3706023693084717, -0.5789113640785217, -0.07746738940477371, -0.7221607565879822)",00000100,back_bad_8
18:22:19.769000,"(0.8544211983680725, -0.18230432271957397, -0.21467915177345276, -0.43662869930267334)",0 days 00:00:02.982209,10010100,neck_bad_8,18:22:19.106000,"(0.3705875873565674, -0.578868567943573, -0.07744806259870529, -0.7222055792808533)",00000100,back_bad_8
18:22:19.844000,"(0.8544066548347473, -0.18257518112659454, -0.21444903314113617, -0.436657190322876)",0 days 00:00:03.002223,10010100,neck_bad_8,18:22:19.121000,"(0.3705441653728485, -0.5788361430168152, -0.07737752795219421, -0.7222623825073242)",00000100,back_bad_8
18:22:19.919000,"(0.8544359803199768, -0.18275928497314453, -0.214183509349823, -0.4366534650325775)",0 days 00:00:03.022237,10010100,neck_bad_8,18:22:19.151000,"(0.3703843951225281, -0.5788952112197876, -0.07728728652000427, -0.7223076224327087)",00000100,back_bad_8
18:22:19.995000,"(0.8544802665710449, -0.18280595541000366, -0.21403752267360687, -0.43661871552467346)",0 days 00:00:03.042255,10010100,neck_bad_8,18:22:19.181000,"(0.37029391527175903, -0.5788461565971375, -0.07730390131473541, -0.7223915457725525)",00000100,back_bad_8
18:22:20.069000,"(0.8544232249259949, -0.18300199508666992, -0.21402838826179504, -0.4366503655910492)",0 days 00:00:03.062269,10010100,neck_bad_8,18:22:19.256000,"(0.37050676345825195, -0.5787434577941895, -0.07755567878484726, -0.7223339676856995)",00000100,back_bad_8
18:22:20.182000,"(0.8543592691421509, -0.1833060085773468, -0.21406671404838562, -0.43662938475608826)",0 days 00:00:03.082284,10010100,neck_bad_8,18:22:19.302000,"(0.37045082449913025, -0.5786885023117065, -0.07757718116044998, -0.7224045395851135)",00000100,back_bad_8
18:22:20.294000,"(0.8542558550834656, -0.1837904453277588, -0.2140890657901764, -0.43661782145500183)",0 days 00:00:03.102301,10010100,neck_bad_8,18:22:19.316000,"(0.3704158067703247, -0.5786558389663696, -0.07757576555013657, -0.7224488854408264)",00000100,back_bad_8
18:22:20.369000,"(0.8541229963302612, -0.184241384267807, -0.21419338881969452, -0.43663692474365234)",0 days 00:00:03.122315,10010100,neck_bad_8,18:22:19.318000,"(0.37037894129753113, -0.5786221027374268, -0.07753551751375198, -0.7224994897842407)",00000100,back_bad_8
18:22:20.444000,"(0.854028046131134, -0.184543639421463, -0.21432237327098846, -0.4366329312324524)",0 days 00:00:03.142329,10010100,neck_bad_8,18:22:19.347000,"(0.370328813791275, -0.57861328125, -0.07749512046575546, -0.7225369811058044)",00000100,back_bad_8
18:22:20.519000,"(0.8539476990699768, -0.18485815823078156, -0.21440264582633972, -0.43661877512931824)",0 days 00:00:03.162347,10010100,neck_bad_8,18:22:19.348000,"(0.37025678157806396, -0.5786463022232056, -0.07746171206235886, -0.7225512266159058)",00000100,back_bad_8
18:22:20.594000,"(0.8538876175880432, -0.18510152399539948, -0.21456648409366608, -0.4365542232990265)",0 days 00:00:03.182363,10010100,neck_bad_8,18:22:19.361000,"(0.3702404797077179, -0.5786542892456055, -0.0774507001042366, -0.7225548624992371)",00000100,back_bad_8
18:22:20.669000,"(0.8538601398468018, -0.18536891043186188, -0.2146841138601303, -0.4364381730556488)",0 days 00:00:03.202380,10010100,neck_bad_8,18:22:19.376000,"(0.3702479898929596, -0.5786489844322205, -0.07742128521203995, -0.7225589752197266)",00000100,back_bad_8
18:22:20.744000,"(0.853809118270874, -0.1856810748577118, -0.21475842595100403, -0.4363710582256317)",0 days 00:00:03.222395,10010100,neck_bad_8,18:22:19.391000,"(0.37021833658218384, -0.5786909461021423, -0.07736682146787643, -0.7225468158721924)",00000100,back_bad_8
18:22:20.857000,"(0.8537999987602234, -0.18580907583236694, -0.21487835049629211, -0.43627551198005676)",0 days 00:00:03.242413,10010100,neck_bad_8,18:22:19.393000,"(0.37016892433166504, -0.578772246837616, -0.0773310735821724, -0.7225109934806824)",00000100,back_bad_8
18:22:20.932000,"(0.8538497090339661, -0.18579494953155518, -0.21501785516738892, -0.43610602617263794)",0 days 00:00:03.262423,10010100,neck_bad_8,18:22:19.406000,"(0.370450496673584, -0.5787108540534973, -0.07753904908895493, -0.7223906517028809)",00000100,back_bad_8
18:22:21.007000,"(0.853898286819458, -0.18588311970233917, -0.21508274972438812, -0.4359419345855713)",0 days 00:00:03.282436,10010100,neck_bad_8,18:22:19.408000,"(0.37048977613449097, -0.5786374807357788, -0.07755611091852188, -0.722427487373352)",00000100,back_bad_8
18:22:21.082000,"(0.8539510369300842, -0.18587830662727356, -0.21515849232673645, -0.4358043074607849)",0 days 00:00:03.302450,10010100,neck_bad_8,18:22:19.421000,"(0.370574951171875, -0.5785377621650696, -0.0775485634803772, -0.7224645018577576)",00000100,back_bad_8
18:22:21.157000,"(0.8540924191474915, -0.18581463396549225, -0.2151368260383606, -0.4355657696723938)",0 days 00:00:03.322465,10010100,neck_bad_8,18:22:19.436000,"(0.3707040250301361, -0.5784010291099548, -0.07756484299898148, -0.7225061058998108)",00000100,back_bad_8
18:22:21.269000,"(0.8541879653930664, -0.18589697778224945, -0.2150425910949707, -0.4353901743888855)",0 days 00:00:03.342480,10010100,neck_bad_8,18:22:19.451000,"(0.370776891708374, -0.5782922506332397, -0.07752037793397903, -0.7225605845451355)",00000100,back_bad_8
18:22:21.382000,"(0.8542703986167908, -0.18597619235515594, -0.2149381935596466, -0.43524691462516785)",0 days 00:00:03.362492,10010100,neck_bad_8,18:22:19.481000,"(0.37080663442611694, -0.5782134532928467, -0.07747761905193329, -0.7226132154464722)",00000100,back_bad_8
18:22:21.532000,"(0.8543323874473572, -0.18599224090576172, -0.21483194828033447, -0.4351711571216583)",0 days 00:00:03.382507,10010100,neck_bad_8,18:22:19.496000,"(0.37078025937080383, -0.5782036185264587, -0.07747148722410202, -0.7226358652114868)",00000100,back_bad_8
18:22:21.619000,"(0.8544049263000488, -0.18591228127479553, -0.21476474404335022, -0.4350963234901428)",0 days 00:00:03.402524,10010100,neck_bad_8,18:22:19.511000,"(0.37070685625076294, -0.5782269835472107, -0.07745350152254105, -0.7226572632789612)",00000100,back_bad_8
18:22:21.710000,"(0.8544967174530029, -0.18581876158714294, -0.21476104855537415, -0.43495815992355347)",0 days 00:00:03.422538,10010100,neck_bad_8,18:22:19.556000,"(0.370607852935791, -0.5782479643821716, -0.07740529626607895, -0.7226966023445129)",00000100,back_bad_8
18:22:21.869000,"(0.854556679725647, -0.18579085171222687, -0.21475757658481598, -0.43485406041145325)",0 days 00:00:03.442553,10010100,neck_bad_8,18:22:19.571000,"(0.3704949617385864, -0.5782727599143982, -0.07734130322933197, -0.7227415442466736)",00000100,back_bad_8
18:22:21.907000,"(0.8545830249786377, -0.18578892946243286, -0.2147579938173294, -0.43479815125465393)",0 days 00:00:03.482581,10010100,neck_bad_8,18:22:19.616000,"(0.37053215503692627, -0.5783141851425171, -0.07738687843084335, -0.7226825952529907)",00000100,back_bad_8
18:22:21.944000,"(0.8544852137565613, -0.18575602769851685, -0.21516035497188568, -0.4348069727420807)",0 days 00:00:03.562641,10010100,neck_bad_8,18:22:19.676000,"(0.3700943887233734, -0.5784794092178345, -0.07704176753759384, -0.7228124737739563)",00000100,back_bad_8
18:22:22.094000,"(0.8544450998306274, -0.18601952493190765, -0.2152029126882553, -0.43475276231765747)",0 days 00:00:03.602672,10010100,neck_bad_8,18:22:19.736000,"(0.370059072971344, -0.5784730315208435, -0.07694041728973389, -0.7228472232818604)",00000100,back_bad_8
18:22:22.169000,"(0.8544291853904724, -0.18617381155490875, -0.2151717245578766, -0.43473392724990845)",0 days 00:00:03.622687,10010100,neck_bad_8,18:22:19.751000,"(0.3700142204761505, -0.5784807801246643, -0.07689553499221802, -0.7228692770004272)",00000100,back_bad_8
18:22:22.244000,"(0.8544573783874512, -0.186239093542099, -0.21524348855018616, -0.4346121549606323)",0 days 00:00:03.662715,10010100,neck_bad_8,18:22:19.818000,"(0.37013232707977295, -0.5785036683082581, -0.07698176801204681, -0.7227791547775269)",00000100,back_bad_8
18:22:22.499000,"(0.8544353246688843, -0.18680009245872498, -0.2153448462486267, -0.43436625599861145)",0 days 00:00:03.742777,10010100,neck_bad_8,18:22:19.932000,"(0.3698439300060272, -0.5785994529724121, -0.07700949162244797, -0.7228477001190186)",00000100,back_bad_8
18:22:22.500000,"(0.8539414405822754, -0.18822042644023895, -0.21622659265995026, -0.43429163098335266)",0 days 00:00:03.822832,10010100,neck_bad_8,18:22:20.044000,"(0.3697185218334198, -0.578959047794342, -0.07678467780351639, -0.7226486802101135)",00000100,back_bad_8
18:22:22.506000,"(0.853925883769989, -0.1884811371564865, -0.21653062105178833, -0.4340577721595764)",0 days 00:00:03.842847,10010100,neck_bad_8,18:22:20.045000,"(0.36968860030174255, -0.5790335536003113, -0.07670815289020538, -0.7226122617721558)",00000100,back_bad_8
18:22:22.544000,"(0.8536250591278076, -0.18946492671966553, -0.21746963262557983, -0.4337477684020996)",0 days 00:00:03.902892,10010100,neck_bad_8,18:22:20.158000,"(0.3697294294834137, -0.579291045665741, -0.07664629071950912, -0.7223907709121704)",00000100,back_bad_8
18:22:22.582000,"(0.8532962799072266, -0.19038911163806915, -0.21812006831169128, -0.43366774916648865)",0 days 00:00:03.942921,10010100,neck_bad_8,18:22:20.231000,"(0.36966466903686523, -0.5794160962104797, -0.07655654847621918, -0.722334086894989)",00000100,back_bad_8
18:22:22.619000,"(0.8530555367469788, -0.19088533520698547, -0.2187138944864273, -0.4336291253566742)",0 days 00:00:03.982951,10010100,neck_bad_8,18:22:20.269000,"(0.3695964813232422, -0.5795506238937378, -0.0764920562505722, -0.7222691178321838)",00000100,back_bad_8
18:22:22.657000,"(0.8529403209686279, -0.19101451337337494, -0.21909426152706146, -0.4336089789867401)",0 days 00:00:04.002965,10010100,neck_bad_8,18:22:20.306000,"(0.369572252035141, -0.5796306133270264, -0.07645326852798462, -0.722221851348877)",00000100,back_bad_8
18:22:22.694000,"(0.8526970744132996, -0.1917336881160736, -0.21959401667118073, -0.43352022767066956)",0 days 00:00:04.042996,10010100,neck_bad_8,18:22:20.344000,"(0.3696131110191345, -0.579764187335968, -0.07643432170152664, -0.7220964431762695)",00000100,back_bad_8
18:22:22.731000,"(0.8524355292320251, -0.1926158368587494, -0.2204267680644989, -0.4332064986228943)",0 days 00:00:04.123057,10010100,neck_bad_8,18:22:20.494000,"(0.36983174085617065, -0.5798834562301636, -0.07631272822618484, -0.7218976616859436)",00000100,back_bad_8
18:22:22.769000,"(0.8522576689720154, -0.19346246123313904, -0.2207910120487213, -0.4329982101917267)",0 days 00:00:04.203115,10010100,neck_bad_8,18:22:20.570000,"(0.3696680963039398, -0.5801128149032593, -0.07575681060552597, -0.7218573689460754)",00000100,back_bad_8
18:22:22.806000,"(0.8521446585655212, -0.19373582303524017, -0.2208845317363739, -0.4330524206161499)",0 days 00:00:04.223130,10010100,neck_bad_8,18:22:20.606000,"(0.3696384131908417, -0.5801823735237122, -0.07553960382938385, -0.7218397855758667)",00000100,back_bad_8
18:22:22.844000,"(0.8520125150680542, -0.19423475861549377, -0.2211122363805771, -0.43296340107917786)",0 days 00:00:04.263161,10010100,neck_bad_8,18:22:20.645000,"(0.36993682384490967, -0.5802420377731323, -0.07546310126781464, -0.721645176410675)",00000100,back_bad_8
18:22:22.883000,"(0.8518568873405457, -0.19468361139297485, -0.2217543125152588, -0.4327411651611328)",0 days 00:00:04.303190,10010100,neck_bad_8,18:22:20.720000,"(0.370024710893631, -0.5802651047706604, -0.07528513669967651, -0.7216007113456726)",00000100,back_bad_8
